query_id,reference_id,identity
85a89cd311994f44acafc16731d74617_1,QPA16484.1,87.30650154798761
63b0320cbf7343ffa098a75facccf564_1,QPA16484.1,84.49848024316108
9cfec2684bd142a698f8b86ff9412c3a_1,QPA16484.1,98.48484848484848
339128b2123d42ee996d959cca799c3e_1,QPA16484.1,97.57575757575758
a253b0a1cb204477a36dc5c56e5b12ab_1,QPA16484.1,87.57575757575758
abcccebe6fc34ba49a7073d6cc8df5ab_1,QPA16484.1,88.14589665653494
f02bf62a77ec4705ab7630925fdbb707_1,QPA16484.1,99.0909090909091
f98569b96f864fd4a04cd5eb49cd31f9_1,QPA16484.1,97.57575757575758
8a9346767b78483ab74afde42be5853a_1,QPA16484.1,98.7878787878788
4fc870f5c5cc4c36b6dcddbaaabf5853_1,QPA16484.1,98.7878787878788
30a4d32b2dd54540b18c5ea33c895067_1,QPA16484.1,96.96969696969697
3661d9fff96c4faa8335b5122a4e52b2_1,QPA16484.1,98.18181818181819
831658e3865b4305b0f5188b7452f704_1,QPA16484.1,99.69696969696969
cb26b56025df47a383592777242c2f77_1,QPA16484.1,99.39393939393939
605f1390f74f4ecdbdda537bdc580159_1,QPA16484.1,99.39393939393939
2027379d21fc45908ccea06389a0991c_1,QPA16484.1,99.39393939393939
cc7cd6cf1240441597fb7a320f16495b_1,QPA16484.1,99.69696969696969
20c7056a32094ce8b4f8fe7cb978878a_1,QPA16484.1,100.0
